Name,Team,Time,FGM,FGA,FGP,3PM,3PA,3PP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TO,PF,Points,Plus-Minus
Butler,Heat,41.19,5,18,27.8,2,5,40,9,11,81.8,1,2,3,5,3,0,1,2,21,-3
Love,Heat,14.10,1,4,25,1,4,25,0,0,0,0,2,2,0,1,2,0,1,3,-11
Adebayo,Heat,44.08,9,20,45,0,0,0,2,2,100,5,7,12,1,1,0,1,2,20,-3
Strus,Heat,31.36,5,12,41.7,1,6,16.7,1,1,100,1,7,8,1,0,1,1,3,12,2
Vincent,Heat,21.42,3,13,23.1,0,4,0,0,0,0,0,0,0,3,1,0,0,2,6,-14
Martin,Heat,32.01,4,9,44.4,0,4,0,2,2,100,1,4,5,1,1,1,2,4,10,13
Lowry,Heat,34.20,4,13,30.8,4,9,44.4,0,0,0,2,7,9,4,2,1,1,5,12,5
Robinson,Heat,16.49,2,6,33.3,1,3,33.3,0,0,0,0,3,3,3,0,2,2,1,5,-9
Highsmith,Heat,2.54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Zeller,Heat,1.01,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-5
Porter,Denver,33.36,7,17,41.2,1,6,16.7,1,2,50,2,11,13,3,0,0,1,0,16,-7
Gordon,Denver,28.40,1,6,16.7,0,2,0,2,4,50,2,5,7,1,2,1,1,4,4,8
Jokic,Denver,42.18,12,16,75,1,3,33.3,3,5,60,1,15,16,4,0,1,4,3,28,12
Caldwell-Pope,Denver,34.00,4,10,40,1,5,20,2,2,100,1,3,4,2,2,3,1,1,11,7
Murray,Denver,41.15,6,15,40,2,7,28.6,0,0,0,0,8,8,8,1,0,6,2,14,12
Green,Denver,4.44,2,2,100,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,-5
Brown,Denver,28.09,4,14,28.6,0,5,0,2,4,50,4,2,6,1,1,0,1,1,10,0
Braun,Denver,24.17,2,4,50,0,0,0,3,6,50,1,2,3,1,0,1,0,0,7,0
Jordan,Denver,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2
